"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","4","346875","343750"
"100","Cross Creek","120","245878","225000"
"101","Castlewood","23","1211612","1100000"
"102","Argonne Forest","21","1535357","1215000"
"103","Wyngate","16","1780670","1534363.5"
"104","Peachtree Battle Alliance","50","1789699","1425000"
"105","Memorial Park","12","1078244","960437.5"
"106","Wildwood (NPU-C)","27","901148","840000"
"107","Collier Hills North","12","697396","720000"
"108","Beecher Hills","32","221339","194875"
"109","Westwood Terrace","36","232451","201500"
"11","Oakcliff","11","141003","158000"
"110","Harris Chiles","2","21000","21000"
"112","Mozley Park","111","274571","265000"
"113","Washington Park","66","192418","170000"
"114","Knight Park/Howell Station","29","480007","440000"
"115","Vine City","111","187596","145000"
"116","Pittsburgh","306","180881","149995"
"117","Peoplestown","75","371754","322000"
"118","Summerhill","113","475549","450000"
"119","Castleberry Hill","88","340201","292550"
"12","Just Us","7","329900","380000"
"120","Sweet Auburn","6","439133","396950"
"121","Marietta Street Artery","5","1973111","1850000"
"122","Sherwood Forest","9","1329336","1381050"
"123","Loring Heights","39","679678","591600"
"124","Brookwood Hills","43","1001608","952500"
"125","Old Gordon","6","75667","21000"
"126","Mays","1","24000","24000"
"127","Harvel Homes Community","5","179500","99000"
"128","Penelope Neighbors","15","242840","225000"
"129","Dixie Hills","134","141479","129000"
"13","Bush Mountain","26","208610","217450"
"130","Grove Park","245","173943","154000"
"131","Fairburn Heights","44","139664","126500"
"132","Adamsville","69","124560","110000"
"133","Fairburn Road/Wisteria Lane","5","141400","141000"
"134","Ridgecrest Forest","10","166540","166850"
"135","Wildwood (NPU-H)","15","149481","174420"
"136","Boulder Park","10","137731","145750"
"137","Westhaven","14","238533","224575"
"138","Harland Terrace","28","69963","48500"
"139","Peyton Forest","21","264343","248000"
"14","Briar Glen","9","196733","200000"
"140","East Ardley Road","9","238000","220000"
"141","West Manor","7","214586","161000"
"142","Audobon Forest West","19","188197","190000"
"143","Audobon Forest","16","285744","293500"
"144","Cascade Heights","22","223273","220000"
"145","Westview","148","302994","305500"
"146","West End","112","323055","331750"
"147","Ashview Heights","94","216519","212500"
"148","Atlanta University Center","24","246158","255000"
"149","Hunter Hills","142","179778","154129"
"15","Fairburn","15","134956","125000"
"150","Historic Westin Heights/Bankhead","64","211127","137750"
"151","English Avenue","178","329875","254400"
"152","Adair Park","58","302672","267500"
"153","Mechanicsville","88","219509","190250"
"155","Grant Park","317","509547","491000"
"156","Hammond Park","58","141795","132500"
"157","Capitol View","85","333331","265000"
"158","High Point","3","323667","331000"
"159","Joyland","46","106409","102000"
"160","Betmar LaVilla","32","168481","164400"
"164","Venetian Hills","183","207410","200000"
"165","Pomona Park","8","251279","240000"
"167","Greenbriar","9","196600","149900"
"168","Laurens Valley","7","206993","203400"
"169","Heritage Valley","17","205991","230000"
"17","Brandon","29","1484885","1400000"
"170","Ben Hill Acres","4","129850","127500"
"171","Rue Royal","6","230285","165250"
"172","Ben Hill Pines","11","117492","119000"
"173","Ben Hill Forest","1","200000","200000"
"174","Deerwood","11","199364","219900"
"175","Wildwood Forest","10","166707","187200"
"176","Fairway Acres","13","135262","120000"
"177","Greenbriar Village","6","130333","131000"
"179","Kings Forest","13","372153","240000"
"18","Poncey-Highland","54","647775","673750"
"180","Whittier Mill Village","15","408530","445000"
"181","Hills Park","35","489740","497500"
"182","Bolton Hills","14","190357","180000"
"183","Carver Hills","31","193431","176000"
