"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","3","172630","151890"
"100","Cross Creek","88","203808","195704.5"
"101","Castlewood","11","882895","860000"
"102","Argonne Forest","18","1324233","933750"
"103","Wyngate","7","2456286","1750000"
"104","Peachtree Battle Alliance","38","1256748","1008675"
"105","Memorial Park","7","973507","839000"
"106","Wildwood (NPU-C)","23","862304","740000"
"107","Collier Hills North","15","654117","675000"
"108","Beecher Hills","24","196296","187500"
"109","Westwood Terrace","32","215729","195798.5"
"11","Oakcliff","7","115771","89000"
"112","Mozley Park","147","158192","135800"
"113","Washington Park","60","125132","110500"
"114","Knight Park/Howell Station","17","385371","383000"
"115","Vine City","74","134609","117750"
"116","Pittsburgh","259","110110","90000"
"117","Peoplestown","83","283399","295000"
"118","Summerhill","51","259406","267500"
"119","Castleberry Hill","63","260251","225000"
"12","Just Us","2","375000","375000"
"120","Sweet Auburn","10","408770","406450"
"122","Sherwood Forest","5","1684800","1560000"
"123","Loring Heights","17","554285","475000"
"124","Brookwood Hills","33","897657","930000"
"125","Old Gordon","4","84600","67500"
"127","Harvel Homes Community","3","128667","95000"
"128","Penelope Neighbors","17","94345","70000"
"129","Dixie Hills","110","83226","66700"
"13","Bush Mountain","25","127158","115000"
"130","Grove Park","311","108700","82500"
"131","Fairburn Heights","35","83640","72500"
"132","Adamsville","75","83248","79000"
"134","Ridgecrest Forest","18","101761","86500"
"135","Wildwood (NPU-H)","11","104163","83000"
"136","Boulder Park","1","99000","99000"
"137","Westhaven","16","121532","129000"
"138","Harland Terrace","19","52685","37500"
"139","Peyton Forest","14","172011","162500"
"14","Briar Glen","8","142250","144500"
"140","East Ardley Road","13","176655","191000"
"141","West Manor","11","181636","150000"
"142","Audobon Forest West","11","259182","273000"
"143","Audobon Forest","8","204213","233500"
"144","Cascade Heights","21","184893","140000"
"145","Westview","160","250592","220100"
"146","West End","116","255770","244500"
"147","Ashview Heights","87","121344","105000"
"148","Atlanta University Center","21","174914","110000"
"149","Hunter Hills","129","120999","110000"
"15","Fairburn","24","89989","84999.5"
"150","Historic Westin Heights/Bankhead","54","246799","69750"
"151","English Avenue","162","129173","82300"
"152","Adair Park","66","231638","215000"
"153","Mechanicsville","63","141148","102500"
"155","Grant Park","209","437950","447000"
"156","Hammond Park","67","89830","75000"
"157","Capitol View","96","209348","197000"
"158","High Point","7","211117","226700"
"159","Joyland","29","77005","70000"
"160","Betmar LaVilla","11","122173","115000"
"164","Venetian Hills","192","130637","114500"
"165","Pomona Park","9","160062","126000"
"167","Greenbriar","7","122471","135000"
"168","Laurens Valley","10","208028","213391"
"169","Heritage Valley","29","137467","140000"
"17","Brandon","15","1279176","1216400"
"170","Ben Hill Acres","8","74575","75500"
"171","Rue Royal","7","84971","74000"
"172","Ben Hill Pines","5","89722","87000"
"173","Ben Hill Forest","2","41527","41527"
"174","Deerwood","21","109722","97000"
"175","Wildwood Forest","11","90724","93200"
"176","Fairway Acres","16","183532","130023.5"
"177","Greenbriar Village","11","112204","112104"
"178","Niskey Lake","2","120000","120000"
"179","Kings Forest","12","158200","165000"
"18","Poncey-Highland","36","415161","310000"
"180","Whittier Mill Village","6","264000","293000"
"181","Hills Park","31","335811","383000"
"182","Bolton Hills","8","74568","65000"
"183","Carver Hills","44","93045","72750"
"184","Almond Park","29","107764","90000"
"185","Browns Mill Park","32","97557","90340"
"186","Swallow Circle/Baywood","33","112130","103000"
"187","Polar Rock","79","82667","73000"
"188","Sylvan Hills","147","160362","147000"
"189","Capitol View Manor","16","160931","165000"
"19","Inman Park","51","601032","512000"
"191","West Lake","51","111561","90000"
"192","Lakewood Heights","142","116491","95000"
"193","South Atlanta","76","98613","70281.5"
"194","Collier Heights","198","123959","100550"
"195","Ivan Hill","6","116167","126000"
"196","Chalet Woods","3","189967","210000"
"197","Florida Heights","79","136758","100000"
"198","Green Acres Valley","4","152754","154698.5"
