"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","2","451837","451836.5"
"100","Cross Creek","58","280765","274500"
"101","Castlewood","11","1482341","1197000"
"102","Argonne Forest","17","1804986","1550000"
"103","Wyngate","6","2756667","1370000"
"104","Peachtree Battle Alliance","37","2059077","1995000"
"105","Memorial Park","2","1725000","1725000"
"106","Wildwood (NPU-C)","11","1109364","1035000"
"107","Collier Hills North","6","1075167","995000"
"108","Beecher Hills","18","298357","236250"
"109","Westwood Terrace","18","257911","258500"
"11","Oakcliff","6","191667","197500"
"112","Mozley Park","42","306731","278750"
"113","Washington Park","35","238677","205000"
"114","Knight Park/Howell Station","21","481071","475000"
"115","Vine City","43","185103","150250"
"116","Pittsburgh","133","259807","210000"
"117","Peoplestown","31","501068","433000"
"118","Summerhill","41","511264","499000"
"119","Castleberry Hill","29","368340","331700"
"12","Just Us","3","361633","395000"
"120","Sweet Auburn","7","451771","338000"
"121","Marietta Street Artery","6","740167","805000"
"122","Sherwood Forest","9","2134344","1490000"
"123","Loring Heights","20","689092","707500"
"124","Brookwood Hills","30","1330729","1222500"
"127","Harvel Homes Community","1","265000","265000"
"128","Penelope Neighbors","16","216463","187500"
"129","Dixie Hills","50","186719","162500"
"13","Bush Mountain","7","258557","260000"
"130","Grove Park","155","221449","185000"
"131","Fairburn Heights","34","184369","174400"
"132","Adamsville","53","201072","194000"
"133","Fairburn Road/Wisteria Lane","1","255000","255000"
"134","Ridgecrest Forest","10","213015","193000"
"135","Wildwood (NPU-H)","2","305000","305000"
"136","Boulder Park","3","166333","149000"
"137","Westhaven","9","202836","172400"
"138","Harland Terrace","11","132955","127000"
"139","Peyton Forest","17","242409","250000"
"14","Briar Glen","3","214107","226950"
"140","East Ardley Road","1","13500","13500"
"141","West Manor","12","242621","242500"
"142","Audobon Forest West","6","425146","410000"
"143","Audobon Forest","6","370817","390000"
"144","Cascade Heights","13","233462","178500"
"145","Westview","87","338188","335000"
"146","West End","65","320721","300000"
"147","Ashview Heights","41","301187","288000"
"148","Atlanta University Center","18","303578","315000"
"149","Hunter Hills","61","249488","235000"
"15","Fairburn","15","232320","220000"
"150","Historic Westin Heights/Bankhead","31","227565","166500"
"151","English Avenue","53","256613","260500"
"152","Adair Park","32","400683","385000"
"153","Mechanicsville","42","242512","237000"
"155","Grant Park","158","625551","580750"
"156","Hammond Park","37","183881","149000"
"157","Capitol View","28","323721","312450"
"159","Joyland","21","135400","145000"
"16","Ben Hill Terrace","3","366667","170000"
"160","Betmar LaVilla","12","181863","184800"
"164","Venetian Hills","126","232708","187750"
"165","Pomona Park","13","225954","215000"
"167","Greenbriar","7","206800","203600"
"168","Laurens Valley","9","180818","160000"
"169","Heritage Valley","23","216370","234000"
"17","Brandon","19","1839079","1875000"
"170","Ben Hill Acres","5","155400","125000"
"171","Rue Royal","5","203560","210000"
"172","Ben Hill Pines","2","192500","192500"
"173","Ben Hill Forest","5","247000","230000"
"174","Deerwood","20","488737","240000"
"175","Wildwood Forest","9","229111","234000"
"176","Fairway Acres","12","185325","165000"
"177","Greenbriar Village","6","384743","257500"
"178","Niskey Lake","1","600000","600000"
"179","Kings Forest","17","243833","200000"
"18","Poncey-Highland","14","731411","789000"
"180","Whittier Mill Village","5","564100","566500"
"181","Hills Park","19","434474","440000"
"182","Bolton Hills","1","299900","299900"
"183","Carver Hills","29","182081","156000"
"184","Almond Park","20","252150","247500"
"185","Browns Mill Park","26","195429","178400"
"186","Swallow Circle/Baywood","19","188226","180000"
"187","Polar Rock","26","185863","172450"
"188","Sylvan Hills","89","249253","240000"
"189","Capitol View Manor","15","385927","355000"
"19","Inman Park","37","951726","775000"
"191","West Lake","22","403791","193500"
"192","Lakewood Heights","93","212425","192500"
"193","South Atlanta","33","307638","275000"
"194","Collier Heights","119","206608","199000"
"196","Chalet Woods","4","282475","259950"
"197","Florida Heights","36","200005","167500"
"198","Green Acres Valley","5","384980","410000"
"199","Green Forest Acres","5","271960","289800"
"20","Candler Park","50","591675","527500"
"200","Magnum Manor","8","375566","314500"
"201","Old Fourth Ward","137","643733","449000"
"202","Downtown","117","287463","250000"
"203","Georgia Tech","1","400000","400000"
"204","Home Park","38","582981","482000"
"205","Midtown","450","494659","386850"
"206","Ansley Park","63","1306324","713000"
"207","Brookwood","19","372600","242900"
"208","Ardmore","45","673751","650000"
"209","Hanover West","3","1123333","1100000"
"21","Edgewood","130","509301","462500"
"210","Fairburn Mays","7","168171","112000"
"213","Wesley Battle","5","1182000","1200000"
"214","Virginia Highland","115","838726","775000"
"215","North Buckhead","180","889926","685000"
"216","Lake Claire","62","897915","797500"
"217","Kirkwood","174","629180","602750"
"218","Mt. Paran/Northside","13","2641000","2390000"
"219","East Chastain Park","42","1047768","554000"
"22","Custer/McDonough/Guice","14","276607","170000"
"220","Pine Hills","94","520583","383850"
"221","Paces","21","1662500","1400000"
"224","Carroll Heights","43","193964","179000"
"225","Brookhaven","35","1663763","1525000"
"226","Druid Hills","45","1032668","645000"
"227","Chattahoochee","1","550000","550000"
"228","English Park","10","163337","163500"
"229","Bakers Ferry","5","198900","220000"
"23","Thomasville Heights","20","162806","157500"
"230","Oakland","3","365667","370000"
"231","Atlantic Station","46","419291","388900"
"232","Carey Park","25","230511","290000"
"234","Horseshoe Community","3","180333","212000"
"237","Buckhead Heights","28","371096","342500"
"238","Arlington Estates","19","202499","171000"
"239","Midwest Cascade","9","379072","340000"
"24","Norwood Manor","18","452952","142750"
"240","Chastain Park","30","1695200","1444000"
"242","Old Fairburn Village","2","214500","214500"
"244","East Lake","91","670185","650000"
"245","Perkerson","31","165492","151999"
"246","Glenrose Heights","28","169058","160000"
"247","Edmund Park","5","1184780","906000"
"248","Morningside/Lenox Park","140","1294828","1110000"
"249","East Atlanta","147","458679","449000"
"25","South River Gardens","30","187272","192400"
"2561","Peyton Heights","1","490000","490000"
"26","Blair Villa/Poole Creek","11","291945","154500"
"27","Rosedale Heights","12","232670","219109"
"28","Lakewood","32","178689","153500"
"29","Ridgedale Park","32","637984","546250"
"30","Lindbergh/Morosgo","39","378142","302500"
"31","South Tuxedo Park","17","1968935","1475000"
"32","Buckhead Village","31","947569","365000"
"33","Lindridge/Martin Manor","33","976930","505000"
"34","Atkins Park","9","824500","694400"
"35","Piedmont Heights","26","880635","706000"
"36","Whitewater Creek","6","1697451","1759852.5"
"37","West Paces Ferry/Northside","29","1484452","1465000"
"38","Pleasant Hill","1","2900000","2900000"
"3842","Baker Hills at Campbellton","5","209600","254000"
"3843","Bonnybrook Estates","6","198299","194000"
"3844","Continental Colony","6","214683","232000"
"39","Ridgewood Heights","16","743202","675000"
"40","Fernleaf","3","824333","768000"
"41","Westminster/Milmar","10","1486976","1248000"
"42","Arden/Habersham","9","2390524","1655000"
"43","Woodfield","1","978000","978000"
"44","Springlake","25","1085140","1123000"
"45","Channing Valley","13","676192","635000"
"46","Collier Hills","19","1008132","1001000"
"47","Colonial Homes","2","575000","575000"
"48","Cabbagetown","19","453824","401000"
"49","Reynoldstown","72","637204","602500"
"51","Ormewood Park","79","647114","580000"
"52","Woodland Hills","11","508373","550000"
"53","Benteen Park","12","290458","307500"
"54","Boulevard Heights","22","426500","332500"
"55","Rebel Valley Forest","17","165749","153000"
"56","Leila Valley","20","182020","132500"
"57","Chosewood Park","23","624459","355000"
"58","Cascade Avenue/Road","64","221648","220000"
"59","Oakland City","153","261748","219000"
"60","Campbellton Road","7","300886","241000"
"61","Southwest","18","243895","190000"
"62","Adams Park","27","258329","225000"
"63","Mellwood","5","213600","178000"
"65","Brentwood","3","574633","229900"
"66","Lake Estates","3","205000","175000"
"67","Butner/Tell","3","95000","90000"
"68","Elmco Estates","7","233383","212000"
"69","Sandlewood Estates","4","271725","272850"
"7","Peachtree Heights East","31","1061156","855000"
"72","Berkeley Park","11","568273","548000"
"73","Underwood Hills","59","425218","427000"
"74","Riverside","38","393239","399950"
"75","Bolton","25","578160","655000"
"76","Blandtown","28","676685","635000"
"77","Lincoln Homes","15","168653","139000"
"78","Scotts Crossing","9","197977","135000"
"79","West Highlands","7","579255","595000"
"8","Mt. Gilead Woods","6","178167","184750"
"80","Rockdale","1","610000","610000"
"81","Monroe Heights","15","122033","92500"
"83","Center Hill","97","219930","211000"
"85","Wisteria Gardens","21","269482","175000"
"86","Baker Hills","23","253975","200000"
"87","Wilson Mill Meadows","18","383535","234600"
"88","Orchard Knob","29","172660","171000"
"9","Meadowbrook Forest","9","252611","250000"
"90","Peachtree Park","32","1071631","975000"
"91","Buckhead Forest","37","531908","470000"
"92","Peachtree Heights West","118","1062823","630000"
"93","Garden Hills","87","854958","775000"
"94","Peachtree Hills","69","798846","835000"
"95","Randall Mill","11","1965759","2087500"
"96","Kingswood","8","2660125","2175000"
"97","Tuxedo Park","11","2160727","1801000"
"98","Margaret Mitchell","15","881350","850000"
"99","Westover Plantation","30","400007","397000"
