"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","3","474000","405000"
"100","Cross Creek","104","288853","276250"
"101","Castlewood","15","1720667","1230000"
"102","Argonne Forest","14","1421607","1337500"
"103","Wyngate","11","3067755","2075000"
"104","Peachtree Battle Alliance","34","1668059","1600000"
"105","Memorial Park","7","1068286","915000"
"106","Wildwood (NPU-C)","14","1022148","862500"
"107","Collier Hills North","12","805167","810000"
"108","Beecher Hills","27","301104","240000"
"109","Westwood Terrace","34","341315","317500"
"11","Oakcliff","9","269878","257000"
"112","Mozley Park","65","324262","374900"
"113","Washington Park","34","224969","198250"
"114","Knight Park/Howell Station","15","527807","475000"
"115","Vine City","74","216736","149950"
"116","Pittsburgh","208","318935","205000"
"117","Peoplestown","54","419618","417999.5"
"118","Summerhill","91","488785","489900"
"119","Castleberry Hill","39","318009","297500"
"12","Just Us","8","327200","263000"
"120","Sweet Auburn","8","579094","577500"
"121","Marietta Street Artery","16","716874","699942"
"122","Sherwood Forest","6","1832167","1755000"
"123","Loring Heights","24","648967","652450"
"124","Brookwood Hills","37","971480","490000"
"125","Old Gordon","3","193333","200000"
"126","Mays","1","55000","55000"
"128","Penelope Neighbors","7","202214","175000"
"129","Dixie Hills","93","173847","156258"
"13","Bush Mountain","21","287053","252000"
"130","Grove Park","244","195669","156500"
"131","Fairburn Heights","37","182141","185100"
"132","Adamsville","51","181942","175000"
"133","Fairburn Road/Wisteria Lane","2","137500","137500"
"134","Ridgecrest Forest","12","203917","180450"
"135","Wildwood (NPU-H)","8","216875","236750"
"136","Boulder Park","9","190794","155000"
"137","Westhaven","14","170033","150000"
"138","Harland Terrace","25","94696","87000"
"139","Peyton Forest","21","269795","238000"
"14","Briar Glen","6","195583","196500"
"140","East Ardley Road","1","365000","365000"
"141","West Manor","24","246311","280000"
"142","Audobon Forest West","8","296636","201104.5"
"143","Audobon Forest","14","239729","192500"
"144","Cascade Heights","22","216107","195500"
"145","Westview","96","349626","302500"
"146","West End","97","360971","341800"
"147","Ashview Heights","45","306405","325000"
"148","Atlanta University Center","30","231272","198458"
"149","Hunter Hills","102","208583","194250"
"15","Fairburn","11","193137","200000"
"150","Historic Westin Heights/Bankhead","56","434165","516184"
"151","English Avenue","121","330066","250000"
"152","Adair Park","42","411219","409250"
"153","Mechanicsville","66","250397","219500"
"155","Grant Park","209","613013","585000"
"156","Hammond Park","59","180841","160000"
"157","Capitol View","54","364910","379000"
"158","High Point","3","378333","366000"
"159","Joyland","41","144485","143620"
"16","Ben Hill Terrace","1","200000","200000"
"160","Betmar LaVilla","22","214100","216000"
"164","Venetian Hills","141","249269","235000"
"165","Pomona Park","6","309150","329950"
"167","Greenbriar","8","173188","166000"
"168","Laurens Valley","4","350705","349909"
"169","Heritage Valley","30","203623","191000"
"17","Brandon","23","1837728","1675000"
"170","Ben Hill Acres","6","224667","207000"
"171","Rue Royal","4","187625","191000"
"172","Ben Hill Pines","11","217573","210000"
"173","Ben Hill Forest","3","241400","229200"
"174","Deerwood","11","167864","115000"
"175","Wildwood Forest","11","178218","170000"
"176","Fairway Acres","5","401630","280000"
"177","Greenbriar Village","5","186200","166000"
"179","Kings Forest","16","255469","185250"
"18","Poncey-Highland","38","748223","683534"
"180","Whittier Mill Village","8","409913","421150"
"181","Hills Park","31","508045","545500"
"182","Bolton Hills","9","226868","178547"
"183","Carver Hills","27","161159","149900"
"184","Almond Park","21","217364","210000"
"185","Browns Mill Park","39","215846","165000"
"186","Swallow Circle/Baywood","18","215855","231500"
"187","Polar Rock","48","175039","145879"
"188","Sylvan Hills","129","290198","270000"
"189","Capitol View Manor","21","316705","301000"
"19","Inman Park","47","703161","620000"
"191","West Lake","26","250873","228000"
"192","Lakewood Heights","110","217114","187500"
"193","South Atlanta","48","199672","160000"
"194","Collier Heights","125","222955","211000"
"195","Ivan Hill","8","184750","187000"
"196","Chalet Woods","2","192500","192500"
"197","Florida Heights","67","327020","216570"
"198","Green Acres Valley","4","228425","276000"
"199","Green Forest Acres","6","265000","300000"
"20","Candler Park","87","707592","705000"
"200","Magnum Manor","13","369038","438000"
"201","Old Fourth Ward","289","506946","355000"
"202","Downtown","257","295450","255000"
"203","Georgia Tech","2","127500","127500"
"204","Home Park","75","484488","460000"
"205","Midtown","813","489955","375000"
"206","Ansley Park","84","969373","550000"
"207","Brookwood","33","447174","277000"
"208","Ardmore","52","591926","610000"
"209","Hanover West","9","914011","1015000"
"21","Edgewood","208","495223","475000"
"210","Fairburn Mays","7","169929","219000"
"211","Fairburn Tell","1","35000","35000"
"213","Wesley Battle","12","1596217","1585000"
"214","Virginia Highland","181","721366","535500"
"215","North Buckhead","303","872701","670000"
"216","Lake Claire","87","744784","677000"
"217","Kirkwood","239","562749","484500"
"218","Mt. Paran/Northside","19","1889768","1745000"
"219","East Chastain Park","92","767508","525479.5"
"22","Custer/McDonough/Guice","30","302306","310000"
"220","Pine Hills","170","529498","311250"
"221","Paces","25","1029040","800000"
"224","Carroll Heights","57","157325","151100"
"225","Brookhaven","51","1577750","1278197"
"226","Druid Hills","58","776563","657500"
"227","Chattahoochee","1","74900","74900"
"228","English Park","9","166000","127000"
"229","Bakers Ferry","6","191733","228700"
"23","Thomasville Heights","23","160186","142500"
"230","Oakland","2","215500","215500"
"231","Atlantic Station","59","470024","390000"
"232","Carey Park","32","289234","186000"
"234","Horseshoe Community","3","232467","135000"
"237","Buckhead Heights","48","362844","368500"
"238","Arlington Estates","18","147745","162500"
"239","Midwest Cascade","19","447026","368000"
"24","Norwood Manor","14","191125","202450"
"240","Chastain Park","45","1674036","1350000"
"242","Old Fairburn Village","1","150000","150000"
"244","East Lake","109","592973","603400"
"245","Perkerson","24","191383","200000"
"246","Glenrose Heights","50","179693","182500"
"247","Edmund Park","8","990594","981875"
"248","Morningside/Lenox Park","224","1064978","912500"
"249","East Atlanta","261","493396","484995"
"25","South River Gardens","37","163752","150000"
"250","Huntington","1","390000","390000"
"2561","Peyton Heights","5","254000","295000"
"26","Blair Villa/Poole Creek","12","166498","175537.5"
"27","Rosedale Heights","12","180956","164250"
"28","Lakewood","39","213636","245000"
"29","Ridgedale Park","41","668234","640000"
"30","Lindbergh/Morosgo","74","400711","362500"
"31","South Tuxedo Park","21","1280619","1075000"
"32","Buckhead Village","82","536041","382500"
"33","Lindridge/Martin Manor","53","631842","518500"
"34","Atkins Park","17","838824","784000"
"35","Piedmont Heights","34","780634","650000"
"36","Whitewater Creek","11","1415000","1165000"
