"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","2","227500","227500"
"100","Cross Creek","95","214761","215000"
"101","Castlewood","34","1209482","1182500"
"102","Argonne Forest","14","1227738","1087500"
"103","Wyngate","13","1512833","1500000"
"104","Peachtree Battle Alliance","33","1537062","1300000"
"105","Memorial Park","14","994500","905000"
"106","Wildwood (NPU-C)","22","947227","869950"
"107","Collier Hills North","12","631608","718500"
"108","Beecher Hills","19","208616","200000"
"109","Westwood Terrace","28","193685","157500"
"11","Oakcliff","11","110445","85000"
"110","Harris Chiles","1","52500","52500"
"112","Mozley Park","115","216866","175000"
"113","Washington Park","58","141683","115000"
"114","Knight Park/Howell Station","25","363245","380200"
"115","Vine City","78","138033","114750"
"116","Pittsburgh","227","167398","115000"
"117","Peoplestown","60","318667","325250"
"118","Summerhill","80","352312","378000"
"119","Castleberry Hill","81","340546","300000"
"12","Just Us","4","216875","206250"
"120","Sweet Auburn","4","356125","365000"
"122","Sherwood Forest","14","1572343","1436250"
"123","Loring Heights","38","582652","582000"
"124","Brookwood Hills","43","981023","900000"
"125","Old Gordon","4","304800","174750"
"127","Harvel Homes Community","2","180000","180000"
"128","Penelope Neighbors","11","144452","165000"
"129","Dixie Hills","107","105440","77000"
"13","Bush Mountain","24","192428","216000"
"130","Grove Park","232","153151","130000"
"131","Fairburn Heights","37","130363","100000"
"132","Adamsville","52","125667","135110.5"
"133","Fairburn Road/Wisteria Lane","1","159000","159000"
"134","Ridgecrest Forest","11","130164","95000"
"135","Wildwood (NPU-H)","9","106694","112000"
"136","Boulder Park","8","124998","106500"
"137","Westhaven","11","206798","235000"
"138","Harland Terrace","14","75964","41750"
"139","Peyton Forest","12","178264","170500"
"14","Briar Glen","2","130850","130850"
"140","East Ardley Road","7","212143","210000"
"141","West Manor","14","172457","193000"
"142","Audobon Forest West","9","309700","322900"
"143","Audobon Forest","10","279985","275000"
"144","Cascade Heights","23","245909","199000"
"145","Westview","160","256550","230000"
"146","West End","120","264713","265000"
"147","Ashview Heights","85","153668","135800"
"148","Atlanta University Center","9","169994","125000"
"149","Hunter Hills","129","145180","113500"
"15","Fairburn","25","125036","128000"
"150","Historic Westin Heights/Bankhead","46","104482","82500"
"151","English Avenue","155","256668","133000"
"152","Adair Park","55","294099","260000"
"153","Mechanicsville","56","182096","155500"
"155","Grant Park","252","460938","440000"
"156","Hammond Park","52","111209","94000"
"157","Capitol View","94","245243","222725"
"158","High Point","5","250273","239948"
"159","Joyland","21","94824","87000"
"16","Ben Hill Terrace","1","72245","72245"
"160","Betmar LaVilla","28","162364","156500"
"164","Venetian Hills","177","172610","137000"
"165","Pomona Park","8","189021","197132"
"167","Greenbriar","11","157627","150000"
"168","Laurens Valley","15","151939","155000"
"169","Heritage Valley","19","136932","122045"
"17","Brandon","14","1123229","1197500"
"170","Ben Hill Acres","3","171967","155000"
"171","Rue Royal","10","108823","120113.5"
"172","Ben Hill Pines","11","98218","105000"
"173","Ben Hill Forest","1","120000","120000"
"174","Deerwood","19","167538","120000"
"175","Wildwood Forest","11","120961","125000"
"176","Fairway Acres","14","137249","130000"
"177","Greenbriar Village","6","107407","93000"
"178","Niskey Lake","1","293000","293000"
"179","Kings Forest","17","1619200","132000"
"18","Poncey-Highland","42","647517","622500"
"180","Whittier Mill Village","16","317925","330000"
"181","Hills Park","35","309378","304078"
"182","Bolton Hills","2","167500","167500"
"183","Carver Hills","31","94961","77500"
"184","Almond Park","38","113856","98255"
"185","Browns Mill Park","56","119137","115975"
"186","Swallow Circle/Baywood","25","118698","100000"
"187","Polar Rock","56","111564","101500"
"188","Sylvan Hills","153","174725","168000"
"189","Capitol View Manor","18","198617","190787.5"
"19","Inman Park","72","622874","525237.5"
"191","West Lake","47","135859","117000"
"192","Lakewood Heights","160","151827","114000"
"193","South Atlanta","55","177758","89500"
"194","Collier Heights","140","137590","121750"
"195","Ivan Hill","9","210957","188840"
"196","Chalet Woods","9","192658","186900"
"197","Florida Heights","53","185192","145000"
"198","Green Acres Valley","1","279000","279000"
"199","Green Forest Acres","9","174189","180900"
"20","Candler Park","122","531780","535000"
"200","Magnum Manor","10","274422","219250"
"201","Old Fourth Ward","351","410649","327500"
"202","Downtown","198","232463","219950"
"204","Home Park","62","371730","363000"
"205","Midtown","721","413326","329000"
"206","Ansley Park","76","900436","773000"
"207","Brookwood","33","404124","209900"
"208","Ardmore","59","519740","580000"
"209","Hanover West","8","1053000","1076000"
"21","Edgewood","210","437739","383750"
"210","Fairburn Mays","12","137664","140000"
"213","Wesley Battle","5","785000","727500"
"214","Virginia Highland","228","647244","600000"
"215","North Buckhead","292","696824","567500"
"216","Lake Claire","90","659623","638350"
"217","Kirkwood","295","476783","475000"
"218","Mt. Paran/Northside","26","1696073","1361000"
"219","East Chastain Park","59","864608","765000"
"22","Custer/McDonough/Guice","31","196582","182500"
"220","Pine Hills","189","355895","250000"
"221","Paces","23","1812317","750000"
"223","Bankhead/Bolton","1","20000","20000"
"224","Carroll Heights","62","131828","105103"
"225","Brookhaven","56","1300396","1222082.5"
"226","Druid Hills","64","682214","475000"
"228","English Park","6","127267","96250"
"229","Bakers Ferry","3","133667","120000"
"23","Thomasville Heights","53","114940","96500"
"231","Atlantic Station","67","396630","351000"
"232","Carey Park","21","72693","55000"
"234","Horseshoe Community","1","25000","25000"
"237","Buckhead Heights","44","305793","270250"
"238","Arlington Estates","19","119305","111000"
"239","Midwest Cascade","18","274850","287750"
"24","Norwood Manor","27","119244","90000"
"240","Chastain Park","50","1811032","1412500"
"242","Old Fairburn Village","1","165000","165000"
"244","East Lake","161","480241","485000"
"245","Perkerson","43","122643","116000"
"246","Glenrose Heights","70","105329","85750"
"247","Edmund Park","5","693000","695000"
"248","Morningside/Lenox Park","273","874586","750000"
"249","East Atlanta","237","418263","417000"
"25","South River Gardens","37","109067","108000"
"250","Huntington","2","213633","213632.5"
"2561","Peyton Heights","3","251967","255900"
"26","Blair Villa/Poole Creek","20","99428","92500"
"27","Rosedale Heights","6","121047","99500"
"28","Lakewood","46","128769","124750"
"29","Ridgedale Park","55","570205","550000"
"30","Lindbergh/Morosgo","83","337753","290000"
"31","South Tuxedo Park","28","975320","872500"
"32","Buckhead Village","79","753055","275000"
"33","Lindridge/Martin Manor","58","372733","390000"
"34","Atkins Park","13","792477","720000"
"35","Piedmont Heights","37","617396","585000"
"36","Whitewater Creek","5","702750","730000"
"37","West Paces Ferry/Northside","35","1260097","1040000"
"3842","Baker Hills at Campbellton","23","113625","100000"
"3843","Bonnybrook Estates","14","111795","108000"
"3844","Continental Colony","12","166767","170700"
"39","Ridgewood Heights","27","615483","560000"
"40","Fernleaf","6","592667","475000"
"41","Westminster/Milmar","10","1031595","1161700"
"42","Arden/Habersham","13","1993877","1400000"
"43","Woodfield","7","791429","835000"
"44","Springlake","41","905701","850000"
"45","Channing Valley","11","674745","575000"
"46","Collier Hills","29","699605","700000"
"47","Colonial Homes","7","352414","361500"
"48","Cabbagetown","32","493528","513450"
"49","Reynoldstown","152","470904","455000"
"51","Ormewood Park","154","486607","457500"
"52","Woodland Hills","23","319416","289900"
"53","Benteen Park","25","365958","385000"
"54","Boulevard Heights","33","339933","300000"
"55","Rebel Valley Forest","18","120808","113500"
"56","Leila Valley","45","96852","82500"
"57","Chosewood Park","60","242952","214000"
"58","Cascade Avenue/Road","72","225045","197500"
"59","Oakland City","235","199734","168000"
"60","Campbellton Road","9","93333","107000"
"61","Southwest","35","140642","135000"
"62","Adams Park","48","194219","177000"
"63","Mellwood","4","96500","96750"
"64","Tampa Park","5","126531","110042"
"65","Brentwood","5","127598","118000"
"66","Lake Estates","7","137648","106000"
"67","Butner/Tell","2","114500","114500"
"68","Elmco Estates","12","104755","95000"
"69","Sandlewood Estates","5","161390","160000"
"7","Peachtree Heights East","38","769898","760000"
"71","Ben Hill","2","201500","201500"
"72","Berkeley Park","20","345000","351500"
"73","Underwood Hills","110","359038","330500"
"74","Riverside","94","308747","307970"
"75","Bolton","76","385207","432000"
"76","Blandtown","60","734147","534747.5"
"77","Lincoln Homes","25","105869","93000"
"78","Scotts Crossing","20","139280","78150"
"79","West Highlands","8","400188","389250"
"8","Mt. Gilead Woods","5","112264","110000"
