"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","1","490000","490000"
"100","Cross Creek","79","285121","275000"
"101","Castlewood","12","1412417","1147500"
"102","Argonne Forest","13","2090769","1500000"
"103","Wyngate","11","4134312","4300000"
"104","Peachtree Battle Alliance","31","2279783","1975000"
"105","Memorial Park","5","1379640","1475000"
"106","Wildwood (NPU-C)","17","1137065","943400"
"107","Collier Hills North","7","842714","875000"
"108","Beecher Hills","14","351581","353950"
"109","Westwood Terrace","20","256365","227500"
"11","Oakcliff","6","188400","153750"
"112","Mozley Park","55","270617","229000"
"113","Washington Park","32","243267","245000.5"
"114","Knight Park/Howell Station","11","543045","485000"
"115","Vine City","59","199342","156000"
"116","Pittsburgh","144","234754","200000"
"117","Peoplestown","43","365114","376700"
"118","Summerhill","41","495081","500000"
"119","Castleberry Hill","32","270316","270000"
"12","Just Us","3","500000","445000"
"120","Sweet Auburn","4","440750","466500"
"121","Marietta Street Artery","14","692221","710000"
"122","Sherwood Forest","14","1452016","1109610.5"
"123","Loring Heights","22","641655","620000"
"124","Brookwood Hills","23","1064304","860000"
"125","Old Gordon","6","156533","180500"
"126","Mays","2","1155000","1155000"
"127","Harvel Homes Community","1","350000","350000"
"128","Penelope Neighbors","6","143324","119750"
"129","Dixie Hills","56","171866","147600"
"13","Bush Mountain","21","266126","245900"
"130","Grove Park","163","228575","180000"
"131","Fairburn Heights","33","177687","195750"
"132","Adamsville","44","178342","184000"
"134","Ridgecrest Forest","8","196969","188125"
"135","Wildwood (NPU-H)","12","191600","179150"
"136","Boulder Park","5","288562","255000"
"137","Westhaven","7","184300","130000"
"138","Harland Terrace","24","118396","125000"
"139","Peyton Forest","24","281839","275000"
"14","Briar Glen","3","252333","297000"
"140","East Ardley Road","3","313000","230000"
"141","West Manor","4","297114","301727.5"
"142","Audobon Forest West","9","259633","237000"
"143","Audobon Forest","5","299679","287000"
"144","Cascade Heights","16","259824","187500"
"145","Westview","86","341192","315610"
"146","West End","88","344188","317500"
"147","Ashview Heights","55","237621","200000"
"148","Atlanta University Center","8","300702","327450"
"149","Hunter Hills","75","221481","180000"
"15","Fairburn","10","284325","239500"
"150","Historic Westin Heights/Bankhead","45","330942","215000"
"151","English Avenue","89","249442","180000"
"152","Adair Park","43","421135","462700"
"153","Mechanicsville","48","242876","234550"
"155","Grant Park","136","607940","539000"
"156","Hammond Park","52","181029","144850"
"157","Capitol View","42","356848","327500"
"158","High Point","2","382500","382500"
"159","Joyland","15","227760","230000"
"160","Betmar LaVilla","9","235722","227000"
"164","Venetian Hills","114","232122","207500"
"165","Pomona Park","9","281167","251500"
"167","Greenbriar","3","222000","220000"
"168","Laurens Valley","3","182000","155000"
"169","Heritage Valley","21","274952","243000"
"17","Brandon","11","2032645","1850000"
"170","Ben Hill Acres","3","169300","165000"
"171","Rue Royal","8","153375","147500"
"172","Ben Hill Pines","7","450000","220000"
"173","Ben Hill Forest","3","211733","179999"
"174","Deerwood","12","179217","147500"
"175","Wildwood Forest","8","188725","215100"
"176","Fairway Acres","7","180903","150000"
"177","Greenbriar Village","5","318600","255000"
"178","Niskey Lake","5","153600","135000"
"179","Kings Forest","15","198773","208000"
"18","Poncey-Highland","20","686237","661000"
"180","Whittier Mill Village","11","488417","512000"
"181","Hills Park","22","444545","402500"
"182","Bolton Hills","9","313911","245000"
"183","Carver Hills","32","185136","145750"
"184","Almond Park","21","223622","172500"
"185","Browns Mill Park","29","161641","160000"
"186","Swallow Circle/Baywood","17","192716","175000"
"187","Polar Rock","36","209558","165000"
"188","Sylvan Hills","110","237771","231500"
"189","Capitol View Manor","18","305118","232500"
"19","Inman Park","46","993582","736388.5"
"191","West Lake","25","224708","202700"
"192","Lakewood Heights","81","223701","197900"
"193","South Atlanta","35","229380","220429"
"194","Collier Heights","128","229896","205125"
"195","Ivan Hill","2","257750","257750"
"196","Chalet Woods","4","302675","302850"
"197","Florida Heights","34","253321","223500"
"198","Green Acres Valley","5","250180","288000"
"199","Green Forest Acres","11","221345","285000"
"20","Candler Park","73","693264","680000"
"200","Magnum Manor","10","313333","305177.5"
"201","Old Fourth Ward","163","664942","465000"
"202","Downtown","167","287776","250000"
"203","Georgia Tech","1","30000","30000"
"204","Home Park","38","551053","513250"
"205","Midtown","504","553515","385000"
