"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","4","300052","304500"
"100","Cross Creek","108","183935","187750"
"101","Castlewood","7","985200","840000"
"102","Argonne Forest","8","1273753","1057500"
"103","Wyngate","12","1287333","1040000"
"104","Peachtree Battle Alliance","44","1286510","1259840"
"105","Memorial Park","8","784134","698710"
"106","Wildwood (NPU-C)","20","816509","725750"
"107","Collier Hills North","8","649500","654000"
"108","Beecher Hills","23","142606","140000"
"109","Westwood Terrace","42","190712","162300"
"11","Oakcliff","12","46733","51950"
"110","Harris Chiles","1","52500","52500"
"112","Mozley Park","158","132254","115000"
"113","Washington Park","75","80323","70500"
"114","Knight Park/Howell Station","27","369880","351000"
"115","Vine City","91","90665","85000"
"116","Pittsburgh","406","86827","70000"
"117","Peoplestown","89","206863","180000"
"118","Summerhill","66","289415","295016.5"
"119","Castleberry Hill","64","234723","228000"
"12","Just Us","4","86800","72600"
"120","Sweet Auburn","29","423959","437600"
"121","Marietta Street Artery","1","15000","15000"
"122","Sherwood Forest","11","1320636","1295000"
"123","Loring Heights","19","679923","425000"
"124","Brookwood Hills","36","776114","667500"
"125","Old Gordon","3","56847","55000"
"126","Mays","1","5370000","5370000"
"127","Harvel Homes Community","6","116000","125000"
"128","Penelope Neighbors","15","63133","54000"
"129","Dixie Hills","118","57451","45000"
"13","Bush Mountain","33","131361","113000"
"130","Grove Park","312","79371","65000"
"131","Fairburn Heights","47","62637","52500"
"132","Adamsville","58","72643","50903.5"
"133","Fairburn Road/Wisteria Lane","3","109358","94000"
"134","Ridgecrest Forest","12","64342","55750"
"135","Wildwood (NPU-H)","5","65780","53000"
"136","Boulder Park","4","62500","60000"
"137","Westhaven","14","106264","88000"
"138","Harland Terrace","13","68509","34000"
"139","Peyton Forest","18","159816","164000"
"14","Briar Glen","8","102755","80068.5"
"140","East Ardley Road","12","150534","141500"
"141","West Manor","7","967154","240500"
"142","Audobon Forest West","12","152858","122500"
"143","Audobon Forest","11","163174","150000"
"144","Cascade Heights","16","149853","157000"
"145","Westview","222","187706","162000"
"146","West End","190","205724","170000"
"147","Ashview Heights","101","100686","91000"
"148","Atlanta University Center","11","222455","120000"
"149","Hunter Hills","168","77996","68500"
"15","Fairburn","22","64396","58500"
"150","Historic Westin Heights/Bankhead","78","143663","51000"
"151","English Avenue","190","64424","46425"
"152","Adair Park","75","198686","190000"
"153","Mechanicsville","112","157857","151500"
"155","Grant Park","259","386368","359900"
"156","Hammond Park","60","71109","60000"
"157","Capitol View","104","184939","150000"
"158","High Point","6","245333","241000"
"159","Joyland","31","49000","42000"
"16","Ben Hill Terrace","2","58150","58149.5"
"160","Betmar LaVilla","32","152084","172450"
"164","Venetian Hills","270","103356","88700"
"165","Pomona Park","7","106958","100000"
"167","Greenbriar","4","78825","73650"
"168","Laurens Valley","12","166053","158500"
"169","Heritage Valley","20","113734","107500"
"17","Brandon","13","1431292","1299000"
"170","Ben Hill Acres","5","102540","118000"
"171","Rue Royal","4","144725","94400"
"172","Ben Hill Pines","7","115143","110000"
"173","Ben Hill Forest","5","120500","160000"
"174","Deerwood","11","151907","81700"
"175","Wildwood Forest","7","88573","80000"
"176","Fairway Acres","9","70294","70000"
"177","Greenbriar Village","7","96994","98500"
"178","Niskey Lake","1","123600","123600"
"179","Kings Forest","22","936587","116950"
"18","Poncey-Highland","34","478494","409950"
"180","Whittier Mill Village","14","287611","283500"
"181","Hills Park","28","271880","294325"
"182","Bolton Hills","9","52509","62000"
"183","Carver Hills","44","73220","64250"
"184","Almond Park","43","79887","53000"
"185","Browns Mill Park","35","75907","68000"
"186","Swallow Circle/Baywood","40","64818","60500"
"187","Polar Rock","67","64461","59000"
"188","Sylvan Hills","201","122929","105000"
"189","Capitol View Manor","24","179617","172500"
"19","Inman Park","77","634081","499405"
"191","West Lake","62","136296","68750"
"192","Lakewood Heights","181","75467","60500"
"193","South Atlanta","79","82359","60000"
"194","Collier Heights","186","95936","78500"
"195","Ivan Hill","4","105450","101250"
"196","Chalet Woods","3","125000","130000"
"197","Florida Heights","98","87507","66500"
"198","Green Acres Valley","10","213820","239000"
"199","Green Forest Acres","10","118340","97050"
"20","Candler Park","101","483507","440000"
"200","Magnum Manor","8","157488","145450"
"201","Old Fourth Ward","360","374886","277500"
"202","Downtown","265","362287","203000"
"203","Georgia Tech","2","16500","16500"
"204","Home Park","64","353627","322500"
"205","Midtown","742","408424","299450"
"206","Ansley Park","84","1258754","705417"
"207","Brookwood","45","294486","189900"
"208","Ardmore","57","460691","500000"
"209","Hanover West","8","935156","843625"
"21","Edgewood","221","359161","335000"
"210","Fairburn Mays","9","78718","86000"
"213","Wesley Battle","10","922840","867500"
"214","Virginia Highland","211","612827","600000"
"215","North Buckhead","272","614149","428750"
"216","Lake Claire","65","646256","549000"
"217","Kirkwood","278","420761","409250"
"218","Mt. Paran/Northside","27","1304941","985000"
"219","East Chastain Park","29","579849","327500"
"22","Custer/McDonough/Guice","42","133384","105000"
"220","Pine Hills","233","401335","256150"
"221","Paces","31","1284188","1050000"
"224","Carroll Heights","62","54122","46750"
"225","Brookhaven","47","1084477","850000"
"226","Druid Hills","52","549527","437250"
"227","Chattahoochee","1","350000","350000"
"228","English Park","12","67380","57500"
"229","Bakers Ferry","3","123833","160000"
"23","Thomasville Heights","49","54878","46000"
"230","Oakland","3","235433","222500"
"231","Atlantic Station","88","290773","238750"
"232","Carey Park","32","51057","42500"
"234","Horseshoe Community","2","81250","81250"
"237","Buckhead Heights","43","329889","315000"
"238","Arlington Estates","18","103100","88000"
"239","Midwest Cascade","23","339082","253000"
"24","Norwood Manor","23","70191","63500"
"240","Chastain Park","55","1162039","950000"
"244","East Lake","154","389196","353500"
"245","Perkerson","38","90987","86000"
"246","Glenrose Heights","68","362065","57875"
"247","Edmund Park","9","734822","700000"
"248","Morningside/Lenox Park","300","768720","647500"
"249","East Atlanta","264","350327","341500"
"25","South River Gardens","45","78033","70780"
"250","Huntington","1","90000","90000"
"2561","Peyton Heights","3","195467","196500"
"26","Blair Villa/Poole Creek","24","49308","49050"
"27","Rosedale Heights","9","88708","82500"
"28","Lakewood","68","66230","60750"
"29","Ridgedale Park","54","479108","400025"
"30","Lindbergh/Morosgo","111","351946","354495"
"31","South Tuxedo Park","23","962435","807500"
"32","Buckhead Village","65","298170","255000"
"33","Lindridge/Martin Manor","65","333531","340000"
"34","Atkins Park","14","530118","493000"
"35","Piedmont Heights","29","593134","607500"
"36","Whitewater Creek","5","1191000","1195000"
"37","West Paces Ferry/Northside","24","1133198","1032000"
"3842","Baker Hills at Campbellton","12","120492","93000"
"3843","Bonnybrook Estates","12","78101","73250"
"3844","Continental Colony","6","139933","136300"
"39","Ridgewood Heights","20","503938","451500"
"40","Fernleaf","3","517500","492500"
"41","Westminster/Milmar","9","980167","935300"
"42","Arden/Habersham","13","1703675","1535000"
"43","Woodfield","10","812490","700000"
"44","Springlake","38","633863","607500"
"45","Channing Valley","12","549000","482000"
"46","Collier Hills","28","668429","609000"
"47","Colonial Homes","9","350644","352500"
"48","Cabbagetown","26","392830","382500"
"49","Reynoldstown","130","401528","374887.5"
"51","Ormewood Park","158","633019","344500"
"52","Woodland Hills","22","316968","309500"
"53","Benteen Park","51","242701","245000"
"54","Boulevard Heights","29","291774","267000"
"55","Rebel Valley Forest","36","65423","52000"
"56","Leila Valley","35","55896","49900"
