"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","2","215000","215000"
"100","Cross Creek","108","158036","155600"
"101","Castlewood","12","1164521","1225000"
"102","Argonne Forest","9","845000","875000"
"103","Wyngate","10","1404950","1425000"
"104","Peachtree Battle Alliance","43","1306817","1139500"
"105","Memorial Park","10","806100","704500"
"106","Wildwood (NPU-C)","18","644855","650183.5"
"107","Collier Hills North","11","591727","580000"
"108","Beecher Hills","26","81515","64000"
"109","Westwood Terrace","31","69041","61500"
"11","Oakcliff","1","23400","23400"
"112","Mozley Park","72","48031","37576.5"
"113","Washington Park","40","42535","35250"
"114","Knight Park/Howell Station","27","263770","278800"
"115","Vine City","57","61388","31000"
"116","Pittsburgh","137","40733","28000"
"117","Peoplestown","84","132495","109500"
"118","Summerhill","73","205222","185000"
"119","Castleberry Hill","58","219246","181650"
"12","Just Us","5","69180","69900"
"120","Sweet Auburn","9","422584","485000"
"121","Marietta Street Artery","1","225000","225000"
"122","Sherwood Forest","9","1321111","1200000"
"123","Loring Heights","24","441521","378500"
"124","Brookwood Hills","49","801228","795000"
"125","Old Gordon","1","25000","25000"
"127","Harvel Homes Community","2","46500","46500"
"128","Penelope Neighbors","6","48784","25500"
"129","Dixie Hills","42","38391","28500"
"13","Bush Mountain","13","37773","25000"
"130","Grove Park","152","45483","31750"
"131","Fairburn Heights","31","40147","40000"
"132","Adamsville","48","44211","36667"
"133","Fairburn Road/Wisteria Lane","2","128500","128500"
"134","Ridgecrest Forest","5","49180","43000"
"135","Wildwood (NPU-H)","9","53475","49000"
"136","Boulder Park","4","70840","58750"
"137","Westhaven","8","64086","52750"
"138","Harland Terrace","6","34988","15500"
"139","Peyton Forest","12","110668","78500"
"14","Briar Glen","9","119256","65000"
"140","East Ardley Road","2","110000","110000"
"141","West Manor","7","162622","139255"
"142","Audobon Forest West","2","86250","86250"
"143","Audobon Forest","12","162583","142000"
"144","Cascade Heights","22","142661","98000"
"145","Westview","218","90077","67750"
"146","West End","225","108915","85000"
"147","Ashview Heights","57","38132","30550"
"148","Atlanta University Center","6","100642","34750"
"149","Hunter Hills","73","34397","27900"
"15","Fairburn","18","47858","44000"
"150","Historic Westin Heights/Bankhead","25","47642","25000"
"151","English Avenue","65","41173","25500"
"152","Adair Park","75","120371","120000"
"153","Mechanicsville","53","65885","60000"
"155","Grant Park","293","342757","335000"
"156","Hammond Park","33","49052","29500"
"157","Capitol View","91","84336","65809"
"158","High Point","4","176862","199000"
"159","Joyland","18","30761","25250"
"16","Ben Hill Terrace","2","48000","48000"
"160","Betmar LaVilla","29","72637","65796"
"164","Venetian Hills","154","52120","42840"
"165","Pomona Park","5","102060","113000"
"167","Greenbriar","4","53250","53450"
"168","Laurens Valley","14","96873","88000"
"169","Heritage Valley","16","52655","47500"
"17","Brandon","16","1071397","1087500"
"170","Ben Hill Acres","3","52000","56500"
"171","Rue Royal","4","53381","58762.5"
"172","Ben Hill Pines","5","19105","17001"
"173","Ben Hill Forest","1","55000","55000"
"174","Deerwood","16","61405","45887.5"
"175","Wildwood Forest","1","34000","34000"
"176","Fairway Acres","9","56350","60000"
"177","Greenbriar Village","3","62033","68000"
"178","Niskey Lake","1","80500","80500"
"179","Kings Forest","18","105048","85562"
"18","Poncey-Highland","43","501333","340000"
"180","Whittier Mill Village","19","304077","300000"
"181","Hills Park","33","201285","210000"
"182","Bolton Hills","8","103613","91450"
"183","Carver Hills","34","30348","25000"
"184","Almond Park","19","50465","42000"
"185","Browns Mill Park","44","40924","37250"
"186","Swallow Circle/Baywood","20","37483","30000"
"187","Polar Rock","27","42229","36500"
"188","Sylvan Hills","150","68262","56375"
"189","Capitol View Manor","12","79710","57000"
"19","Inman Park","89","440212","400000"
"191","West Lake","30","37428","35000"
"192","Lakewood Heights","80","57551","46950"
"193","South Atlanta","55","110301","59000"
"194","Collier Heights","99","63742","49500"
"195","Ivan Hill","2","71750","71750"
"196","Chalet Woods","3","156600","159900"
"197","Florida Heights","30","44484","30525"
"198","Green Acres Valley","4","122475","112450"
"199","Green Forest Acres","9","1510944","115000"
"20","Candler Park","135","389243","394000"
"200","Magnum Manor","9","171679","177659"
"201","Old Fourth Ward","333","335149","224000"
"202","Downtown","233","187117","163000"
"203","Georgia Tech","1","365662","365662"
"204","Home Park","78","323287","300000"
"205","Midtown","871","339980","259900"
"206","Ansley Park","86","815264","634750"
"207","Brookwood","30","318927","153000"
"208","Ardmore","59","419077","470000"
"209","Hanover West","4","900250","860500"
"21","Edgewood","252","249554","234950"
"210","Fairburn Mays","9","78500","76000"
"213","Wesley Battle","18","1043800","1070000"
"214","Virginia Highland","228","476649","435000"
"215","North Buckhead","262","548321","394950"
"216","Lake Claire","99","483945","465000"
"217","Kirkwood","361","326496","300000"
"218","Mt. Paran/Northside","25","1505130","1014500"
"219","East Chastain Park","43","812609","561493"
"22","Custer/McDonough/Guice","27","184868","78000"
"220","Pine Hills","211","291931","209000"
"221","Paces","43","1441708","1110000"
"222","Atlanta Industrial Park","3","101697","115600"
"223","Bankhead/Bolton","1","23000","23000"
"224","Carroll Heights","40","31052","25685.5"
"225","Brookhaven","55","1445643","1190000"
"226","Druid Hills","78","523463","535900"
"228","English Park","6","47167","34750"
"229","Bakers Ferry","2","53750","53750"
"23","Thomasville Heights","40","38652","32000"
"230","Oakland","1","297000","297000"
"231","Atlantic Station","82","1371840","287000"
"232","Carey Park","18","65249","47184.5"
"237","Buckhead Heights","45","254303","239900"
"238","Arlington Estates","12","47650","43500"
"239","Midwest Cascade","25","265517","229000"
"24","Norwood Manor","12","28646","30000"
"240","Chastain Park","52","1408229","1047750"
"242","Old Fairburn Village","1","72900","72900"
"244","East Lake","161","299574","270000"
"245","Perkerson","16","41503","20500"
"246","Glenrose Heights","48","38205","31314.5"
"247","Edmund Park","11","657455","665000"
"248","Morningside/Lenox Park","261","675974","592000"
"249","East Atlanta","352","261928","256250"
